loc,mean_X119안전센터.1개센터당.담당주민수,mean_EQ.5D지표,mean_고령인구비율,mean_구조.구급대원.1인당.담당주민수,mean_노인.천명당.노인여가복지시설수,mean_도로포장률,mean_상수도보급률,mean_소방공무원.1인당.담당주민수,mean_순이동인구,mean_실업률,mean_유아.천명당.보육시설수,mean_유치원수,mean_인구.십만명당.문화기반시설수,mean_인구.십만명당.사회복지시설수,mean_인구.천명당.사설학원수,mean_인구.천명당.의료기관병상수,mean_인구.천명당.의료기관종사의사수,mean_인구증가율,mean_일반회계중.사회복지예산비중,mean_전입인구,mean_전출인구,mean_초등학교수,mean_출생아수,mean_하수도보급률,mean_합계출산율
가평군,30508.5,0.9596,21.494,1245.24,8.91,98.648,76.98,465.78,601.4,0.9,15.794,16,18.754,33.6075,0.85,18.208,2.104,0.712,23.838,7571.2,6969.8,13,362,76.74,1.2636
강진군,40079,0.9542,30.106,1145.11,23.182,95.796,58.96,520.51,-502.8,0.8,9.898,14,22.856,21.09,0.802,12.238,2.076,-1.65,15.688,4170.6,4673.4,14,301,58.96,1.7816
강화군,22245,0.942,28.4,1419.89,9.216,73.212,67.75,733.35,848,NA,10.468,21,14.472,65.65,0.708,13.174,1.776,0.64,17.834,7648,6800,22,269.2,43.16,1.0554
거창군,21059,0.9468,24.418,1579.43,21.708,85.782,75.02,694.25,224.4,1.6,13.76,16,7.922,16.215,1.478,10.514,1.708,-0.078,18.52,4732.2,4507.8,17,350.6,80.86,1.2768
계룡시,40957,0.9588,8.734,2275.39,6.736,100,96.28,NA,291.4,1.2,18.222,8,9.54,24.1125,1.388,5.688,1.564,1.176,21.294,8828.4,8537,5,336.6,95.44,1.419
고령군,35198,0.9654,25.334,1173.27,17.178,90.678,90.32,391.09,-197,2.9,12.64,10.4,13.32,23.0125,1.012,9.34,1.692,-0.696,15.622,3296.8,3493.8,9,227.4,59.94,1.5138
고성군1,10132.67,0.9624,23.266,1688.78,12.064,60.414,83.16,NA,123,0.3,12.832,11,41.116,21.515,0.542,0.415,0.896,0.234,13.574,4774.6,4651.6,14,150,87.52,1.2734
고성군2,28184.5,0.9566,25.858,1657.91,18.06,73.374,76.26,687.43,-249.6,2.2,13.118,18,16.29,25.1975,1.35,17.496,1.78,-1.074,18.316,5011.2,5260.8,19,308.8,58.04,1.2772
고흥군,35315.5,0.9724,36.516,2140.33,20.674,90.654,68.24,994.8,-166.2,0.2,12.506,22,12.256,22.4375,0.73,22.824,2.138,-1.286,17.014,5342.6,5508.8,17,253.4,52.32,1.173
곡성군,15504.5,0.9436,32.192,1476.62,26.654,85.778,77.52,659.77,83.2,0.9,13.068,8,19.616,35.835,0.896,13.134,2.19,-0.472,15.352,3198,3114.8,8,149.6,73.7,1.3608
구례군,27115,0.9592,29.832,1232.5,27.292,90.532,62.2,616.25,270.2,1.4,11.102,12,17.556,25.6875,0.786,23.834,2.292,0.356,14.874,3294.4,3024.2,10,148.6,88.98,1.4888
군위군,24172,0.9528,35.28,833.52,19.016,88.394,72.68,537.16,249.4,0.5,9.536,8,20.688,20.6975,0.314,3.394,1.312,0.182,12.054,2426.2,2176.8,7,101.6,34.52,1.3014
금산군,27720.5,0.9418,26.146,2132.35,17.226,92.152,75.32,622.93,-86,1.4,16.904,16.8,23.356,49.9925,0.662,13.64,2.018,-0.352,20.778,5132.4,5218.4,16,299.8,73.74,1.3122
김천시,27051.8,0.9552,20.022,3220.45,13.5,90.712,85.68,945.87,1603,3.3,18.164,36.4,5.75,21.9825,0.912,16.042,1.74,1.152,20.642,20316.4,18713.4,30.4,1035.8,75.94,1.4224
남원시,28820,0.9498,24.036,1350.94,18.662,86.652,86.66,640.44,-436,1.7,20.144,29,9.666,21.685,1.432,20.878,2.368,-0.822,21.322,9972.4,10408.4,27,530.8,79.88,1.412
남해군,23622,0.943,34.026,1181.1,14.156,92.858,64.14,536.86,-186.6,0.5,14.576,10,10.896,18.38,1.174,6.206,1.722,-1.442,19.354,3669.6,3856.2,13,158.8,71.88,1.062
단양군,23376.25,0.9552,25.464,2174.53,15.358,91.628,72.88,687.54,2.6,0.8,15.872,14,25.406,39.725,0.496,7.478,1.258,-0.664,15.802,2836.6,2834,11,121.4,73.24,1.033
담양군,47365,0.9572,27.864,2059.35,21.05,88.526,76.38,667.11,77.8,2.1,7.668,15,16.096,41.85,0.356,33.27,2.228,-0.012,17.368,5564.6,5486.8,14,330.6,70.96,1.5628
당진군,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
무안군,26455.67,0.9534,19.438,3052.58,20.072,82.272,90.94,570.99,1528.8,NA,12.968,20.6,10.28,24.295,1.464,10.192,1.796,1.85,18.684,11708.2,10179.4,18,596.8,62.32,1.38
무주군,25398,0.9466,29.5,1209.43,29.03,94.316,76.18,725.66,45,1.2,11.966,9,31.022,19.83,0.642,5.256,1.924,-0.356,13.852,2231,2186,10,138.2,72.9,1.4188
문경시,25221.33,0.948,25.202,2292.85,14.982,91.534,90.42,552.29,-236.2,1.6,13.136,26,16.78,25.505,1.18,17.526,1.986,-0.67,18.424,8164.4,8400.6,17,487.2,81.18,1.4746
밀양시,27085.5,0.9628,23.104,2083.5,12.128,90.648,78.3,808.52,306.8,1.6,19.552,26.8,8.882,18.5025,1.442,21.312,1.788,0.078,20.924,12238.4,11931.6,21.2,601,74.1,1.2304
보령시,26234.5,0.9404,21.498,2836.16,13.108,98.288,78.88,783.12,-201.6,1.8,15.218,33.4,10.174,16.2775,1.242,11.688,1.686,-0.27,21.366,13014,13215.6,29,626.4,66.32,1.2854
보성군,15461.67,0.9548,33.588,1364.26,23.316,85.032,56,437.59,-363.6,1.2,8.082,20.2,19.07,17.58,0.766,28.17,2.178,-1.36,16.358,4051.2,4414.8,17.8,277.8,57.04,1.6044
보은군,17159,0.9534,29.596,953.28,21.548,86.426,48.9,512.21,184.6,1.1,8.966,16,14.608,18.235,0.766,21.048,1.94,-0.158,14.672,3390,3205.4,15,174,70.64,1.4494
