date,title,content
20190801,“귀농 귀촌 안착에 주택 문제 중요해”,"“40세 이하 귀농 귀촌인은 대안가치형이 많았고, 41세 이상에서는 은퇴 전원형이 많았다.” 
 
 농촌진흥청 ‘귀농 귀촌인 정착실태 장기(2014 2018년) 추적조사’ 결과의 한 대목이다. 농진청은 약 50만명 귀농 귀촌인의 준비 이주 정착과정 결과 등을 파악하기 위해 한국농촌경제연구원과 함께 2014년부터 5년 간 1309명의 삶을 살폈다. 
 
.."
20190801,"해남군, 귀농 귀촌인구 1만명 유치 ‘올인’","해남군이 ‘행복한 귀농 귀촌 1번지’ 비전을 목표로 귀농귀촌 1만명 유치를 위해 적극 나섰다. 
해남군에 따르면 지난해까지 해남군에 귀농 귀촌한 인원은 9000여명으로 군은 올해 인구정책 총괄부서인 인구정책과를 신설하고 귀농귀촌 전담팀을 구성, 맞춤형 지원을 하고 있다. 
귀농 귀촌 희망자들은 1회 방문을 통해 지역정보와 작목선택, 영농기술 습득, 정착.."
20190801,여수에 공무원 은퇴자 공동체 마을,"여수시가 공무원연금공단과 '은퇴자 공동체 마을' 업무협약을 체결, 운영에 들어갔다.
공직 은퇴자들을 위한 마을을 전국에 조성하고 있는 공무원연금은 내년까지 경찰관 소방관 군인 등 공제연금기관협의회 회원으로 확대, 은퇴자 공동체를 조성한다는 방침이다.
31일 여수시에 따르면 전날 시청 시장실에서 권오봉 시장과 정남준 공무원연금 이사장 등 10여명이 참석한.."
20190801,"고흥군, 공무원 정책제안 경진대회 개최",전남 고흥군이 공무원들의 역량 강화와 정책발굴을 위해 '2019. 공무원 정책제안 경진대회'를 8월 1일부터 실시한다. 이번 경진대회는 그동안 아이템 수준에 그친 공무원 정책 제안제도를 '양적 확대'보다는 '질적 향상'을 중심으로 전환해 실질적인 군정 발전에 보탬이 될 정책을 공무원이 직접 제안하도록 하기 위해 올해 처음으로 실시하게 됐다. 분야로는 '..
20190801,"귀농 귀촌인 절반은 가족 이주, 영농 전업 줄고 35%는 ‘겸업’","- 10명 중 4명은 마을 리더 활동

귀농 귀촌 인구의 절반은 가족과 함께 이주했고 이주 가구의 35%는 농업과 다른 경제 활동을 병행하는 것으로 조사됐다. 귀농 귀촌을 성공적으로 평가한 비율은 60%에 달했다. 하지만 귀농 귀촌인 10명 중 1명은 영농 실패 등으로 도시로 되돌아갔다.

농촌진흥청(이하 농진청)과 한국농촌경제연구원은 31일 ‘귀농 귀.."
20190731,"음성군농기센터, 귀농 귀촌인 '영농기초 기술교육' 수강생 모집","음성군농업기술센터는 31일 귀농 귀촌인을 대상으로 신규농업인 영농기초기술교육 2기 수강생을 모집한다고 밝혔다. 교육모집인원은 25명이고, 대상은 음성군에 전입한지 5년 이내의 귀농 귀촌인이다. 이번 교육은 귀농 초기의 농촌생활 적응과 농업에 대한 이해도를 높이고 영농기초기술교육을 통해 안정적인 생활기반을 조성하는 데 도움이 될 것으로 기대된다. 교육기간.."
20190731,귀농 귀촌인 10명 중 4명 마을리더로 변신," 농촌진흥청이 한국농촌경제연구원과 함께 귀농ㆍ귀촌인의 농촌사회 정착 과정을 파악하기 위해‘귀농ㆍ귀촌인 정착실태 장기추적조사’를 실시한 결과 귀농ㆍ귀촌인 10명 중 4명이 마을리더로 변신해 활발한 농촌활동을 전개하고 있는 것으로 나타났다고 밝혔다. 

이번 조사는 2014년부터 귀농ㆍ귀촌인 1,039명의 동의를 받아 준비ㆍ이주ㆍ정착과정, 경제활동, 지역사.."
20190731,"전남 친환경농산물, 유기농무역박람회서 판촉","전남도가 1일부터 3일까지 서울 코엑스에서 열리는 ‘제18회 2019 친환경유기농 무역박람회’에서 전남 친환경농산물의 우수성 홍보 및 판촉활동에 나선다.

박람회 참가 업체는 보성 우리원 등 26개 친환경농업 단체 및 업체다. 유기농 쌀을 비롯해 특산품인 버섯, 쑥, 단호박, 비파, 모링가 등 150여 품목을 전시 홍보하고 소비자에게 직접 판매한다.

.."
20190731,"음성군, 제2기 신규농업인 영농기초기술교육 수강생 모집","[음성]음성군농업기술센터는 농촌을 삶의 터전으로 제2의 인생을 시작하는 귀농 귀촌인을 대상으로 신규농업인 영농기초기술교육 2기 수강생을 모집한다고 31일 밝혔다.
교육모집인원은 25명이며, 대상은 음성군에 전입한지 5년 이내의 귀농 귀촌인이다.
이번 교육은 귀농 초기의 농촌생활 적응과 농업에 대한 이해도를 높이고 영농기초기술교육을 통해 안정적인 생활기반.."
20190731,50세 이하가 40% 젊어진 귀농 귀촌,"[앵커]

 귀농과 귀촌, 어떤 사람들이 하고 있을까요?

 50살 이하가 40%에 달하고, 학위나 자격증 소지자도 절반을 훌쩍 넘겼습니다.

 젊고 다양한 지식을 지닌 귀농 귀촌인들이 고령화된 농촌에 활력을 불어넣는 것으로 분석됐습니다.

 박효인 기자의 보도입니다.

 [리포트]

 농촌진흥청이 귀농 귀촌인 천여 명을 대상으로 5년간 추적 조사를 실.."
